Date,24 Hour Trading Vol
1424822400000,5
1425254400000,2
1425600000000,50
1425686400000,58196
1425772800000,31
1425859200000,137
1425945600000,50006
1426032000000,46
1426118400000,80421
1426204800000,75
1426291200000,17706
1426377600000,15124
1426464000000,49631
1426550400000,4284
1426636800000,58
1426723200000,857
1426809600000,132
1426896000000,206
1426982400000,66
1427068800000,65
1427155200000,1179
1427241600000,93
1427328000000,2
1427414400000,4
1427500800000,10
1427587200000,27
1427673600000,494
1427760000000,37
1427932800000,12864
1428019200000,79969
1428105600000,8887
1428192000000,2018
1428278400000,3137
1428364800000,4
1428451200000,19191
1428537600000,1016
1428624000000,100940
1428710400000,1031
1428796800000,3177
1428883200000,1228
1428969600000,46015
1429056000000,50290
1429142400000,40941
1429228800000,46909
1429315200000,50
1429401600000,44
1429488000000,21
1429574400000,16
1429660800000,85933
1429747200000,40294
1429833600000,21625
1429920000000,205
1430006400000,82
1430092800000,2045
1430179200000,22881
1430265600000,30237
1430352000000,47
1430438400000,617
1430524800000,3
1430611200000,12
1430697600000,1547
1430784000000,83139
1430870400000,23
1430956800000,11
1431043200000,119
1431129600000,707
1431216000000,2518
1431302400000,100
1431388800000,484
1431475200000,4
1431561600000,879
1431648000000,265
1431734400000,139
1431820800000,194
1431907200000,680
1431993600000,23179
1432080000000,25185
1432166400000,9751
1432252800000,46241
1432339200000,18579
1432425600000,1367
1432512000000,6858
1432598400000,626
1432684800000,646
1432771200000,78534
1432857600000,17145
1432944000000,24060
1433030400000,4982
1433116800000,6808
1433203200000,28123
1433289600000,49109
1433376000000,24955
1433462400000,116
1433548800000,42
1433635200000,1547
1433721600000,0
1433808000000,179
1433894400000,45685
1433980800000,335
1434067200000,50025
1434153600000,13601
1434240000000,1353
1434326400000,240065
1434412800000,226186
1434499200000,7802
1434585600000,33422
1434672000000,2568
1434758400000,11351
1434844800000,393
1434931200000,368
1435017600000,20006
1435104000000,231885
1435190400000,468361
1435276800000,1895
1435363200000,2313
1435449600000,668371
1435536000000,673
1435622400000,373659
1435708800000,101760
1435795200000,10028
1435881600000,1416
1435968000000,13017
1436054400000,1546
1436140800000,652762
1436227200000,10778
1436313600000,32117
1436400000000,143
1436486400000,1421
1436572800000,1680
1436659200000,2998
1436745600000,1175
1436832000000,241933
1436918400000,31367
